YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2014,10,91000,6888,craigslist
2009,15,109168,4500,craigslist
2014,10,139457,12998,craigslist
2015,9,89207,8988,craigslist
2017,7,24700,25000,craigslist
2005,19,205449,2950,craigslist
2013,11,110000,6800,craigslist
2014,10,105427,7995,craigslist
2006,18,100000,2400,craigslist
2016,8,91777,9450,craigslist
2002,22,150142,3999,craigslist
2002,22,150139,4000,craigslist
2015,9,101798,7999,craigslist
2005,19,52516,6999,craigslist
2018,6,121853,12888,craigslist
2011,13,10000,9999,cargurus
