Timestamp,eat_healthy,workout,age,meals
4/4/2024 19:36:13,No,3,Under 21,1
4/4/2024 20:41:11,No,0,Under 21,3
4/4/2024 20:51:39,Yes,7,Under 21,4
4/4/2024 20:57:10,Yes,5,Under 21,2
4/4/2024 20:59:39,Yes,7,Under 21,3
4/4/2024 21:00:23,Yes,5,21+,3
4/5/2024 6:49:10,Yes,5,Under 21,2
4/5/2024 9:55:04,Yes,4,Under 21,2
4/5/2024 19:12:18,No,2,Under 21,0
4/5/2024 19:18:38,Yes,3,Under 21,2
4/5/2024 19:24:39,Yes,2,Under 21,1
4/5/2024 19:35:26,Yes,2,Under 21,2
4/5/2024 19:35:41,Yes,5,Under 21,2
4/5/2024 19:41:10,Yes,5,Under 21,5
4/5/2024 19:45:54,Yes,5,21 +,3
4/5/2024 19:46:41,Yes,7,Under 21,1
4/5/2024 19:48:43,Yes,5,Under 21,2
4/5/2024 20:04:19,Yes,2,Under 21,1
4/5/2024 20:13:10,Yes,6,Under 21,2
4/5/2024 20:17:47,No,0,Under 21,1
4/5/2024 20:41:35,No,0,Under 21,8
4/5/2024 20:49:48,Yes,5,21 +,2
4/5/2024 21:19:30,Yes,5,Under 21,2
4/5/2024 21:43:40,Yes,3,21 +,6
4/5/2024 22:11:17,No,5,Under 21,2
4/5/2024 23:02:43,Yes,5,21 +,3
4/5/2024 23:52:20,Yes,5,21 +,2
4/6/2024 10:16:32,Yes,3,Under 21,2
4/6/2024 10:19:17,Yes,3,21 +,2
4/6/2024 10:46:32,No,4,21 +,0
4/6/2024 13:35:32,Yes,7,Under 21,1
4/6/2024 13:37:16,Yes,3,21 +,5
4/6/2024 13:41:59,No,2,Under 21,3
4/6/2024 13:45:45,Yes,3,21 +,1
4/6/2024 13:52:41,Yes,5,21 +,4
4/6/2024 13:57:29,Yes,1,Under 21,2
4/6/2024 14:00:04,No,0,Under 21,3
4/6/2024 14:07:53,Yes,5,Under 21,2
4/6/2024 14:17:18,No,3,Under 21,1
4/6/2024 14:24:38,Yes,7,21 +,3
4/6/2024 14:34:58,Yes,3,21 +,1
4/6/2024 14:35:19,No,1,21 +,1
4/6/2024 14:35:31,No,4,21 +,1
4/6/2024 14:35:40,No,0,21 +,2
4/6/2024 14:35:42,Yes,4,21 +,7
4/6/2024 14:37:25,No,0,21 +,1
4/6/2024 14:37:58,Yes,0,21 +,3
4/6/2024 14:38:09,No,0,21 +,1
4/6/2024 14:40:06,No,4,21 +,2
4/6/2024 14:40:12,Yes,1,21 +,5
4/6/2024 14:42:47,No,5,Under 21,1
4/6/2024 14:46:43,No,0,21 +,1
4/6/2024 14:50:05,Yes,3,21 +,6
4/6/2024 14:52:48,No,0,21 +,1
4/6/2024 14:57:37,No,0,21 +,0
4/6/2024 14:57:39,No,4,Under 21,2
4/6/2024 14:57:57,No,3,Under 21,2
4/6/2024 14:58:24,No,0,21 +,3
4/6/2024 15:09:11,Yes,4,Under 21,2
4/6/2024 15:26:30,Yes,0,21 +,3
4/6/2024 15:27:04,No,3,Under 21,1
4/6/2024 15:34:11,Yes,3,21 +,2
4/6/2024 16:00:42,Yes,3,21 +,6
4/6/2024 16:43:57,Yes,6,Under 21,4
4/6/2024 16:46:02,Yes,2,Under 21,2
4/6/2024 17:27:02,Yes,4,21 +,1
4/6/2024 17:35:30,No,1,21 +,1
4/6/2024 17:37:41,Yes,6,21 +,2
4/6/2024 18:36:37,No,3,21 +,1
4/6/2024 19:44:47,Yes,3,21+,2
4/6/2024 20:23:12,Yes,3,Under 21,2
4/6/2024 20:34:28,Yes,5,Under 21,3
4/6/2024 22:06:45,Yes,3,Under 21,2
4/7/2024 0:00:44,No,0,Under 21,2
4/7/2024 0:50:50,No,0,Under 21,1
4/7/2024 21:05:56,Yes,2,Under 21,1
4/7/2024 21:07:35,No,1,Under 21,1
4/7/2024 21:07:59,No,5,Under 21,1
4/7/2024 21:08:56,Yes,5,Under 21,1
4/7/2024 21:08:56,Yes,1,Under 21,3
4/7/2024 21:14:32,Yes,5,Under 21,2
4/7/2024 21:17:30,No,0,Under 21,2
4/7/2024 21:18:55,Yes,3,21 +,2
4/7/2024 21:19:57,No,0,Under 21,1
4/7/2024 21:21:52,Yes,0,21 +,0
4/7/2024 21:22:54,No,3,Under 21,1
4/7/2024 21:24:26,No,4,Under 21,1
4/7/2024 21:28:38,No,0,Under 21,2
4/7/2024 21:29:24,No,2,Under 21,4
4/7/2024 21:29:39,No,2,Under 21,1
4/7/2024 21:30:13,Yes,3,21 +,2
4/7/2024 21:35:13,No,1,Under 21,0
4/7/2024 21:36:32,No,0,Under 21,0
4/7/2024 21:45:57,No,3,Under 21,0
4/7/2024 21:51:25,No,6,Under 21,4
4/7/2024 21:51:31,Yes,2,21 +,2
4/7/2024 22:23:59,Yes,3,21 +,2
4/7/2024 22:36:39,Yes,0,21 +,3
4/7/2024 22:44:50,No,2,Under 21,1
4/8/2024 0:15:54,Yes,4,Under 21,3
